employee_id,directorate_name,role_name,grade_name,tgv_name,tv_name,baseline_score,user_score,tv_match_rate,tgv_match_rate,final_match_rate
EMP101584,Commercial,Data Analyst,III,Cognitive Complexity & Problem-Solving,competencies_sto,5,5.0,100.00,94.30,108.62
EMP101584,Commercial,Data Analyst,III,Cognitive Complexity & Problem-Solving,iq,109.513513513514,81.0,73.96,94.30,108.62
EMP101584,Commercial,Data Analyst,III,Creativity & Innovation Orientation,competencies_ids,5,5.0,100.00,117.98,108.62
EMP101584,Commercial,Data Analyst,III,Creativity & Innovation Orientation,strength_ideation,8,1,187.50,117.98,108.62
EMP101584,Commercial,Data Analyst,III,Cultural & Values Urgency,competencies_vcu,5,5.0,100.00,100.00,108.62
EMP101584,Commercial,Data Analyst,III,Leadership & Influence,disc_d,1,1,100,100.00,108.62
EMP101584,Commercial,Data Analyst,III,Motivation & Drive,competencies_qdd,5,5.0,100.00,110.88,108.62
EMP101584,Commercial,Data Analyst,III,Motivation & Drive,papi_a,5,8.0,160.00,110.88,108.62
EMP101584,Commercial,Data Analyst,III,Social Orientation & Collaboration,competencies_sea,5,5.0,100.00,116.21,108.62
EMP101584,Commercial,Data Analyst,III,Social Orientation & Collaboration,papi_s,5,9.0,180.00,116.21,108.62
DUP1942,Commercial,Brand Executive,IV,Cognitive Complexity & Problem-Solving,competencies_sto,5,5.0,100.00,100.00,106.94
DUP1942,Commercial,Brand Executive,IV,Cognitive Complexity & Problem-Solving,iq,109.513513513514,109.51351351351352,100.00,100.00,106.94
DUP1942,Commercial,Brand Executive,IV,Creativity & Innovation Orientation,competencies_ids,5,5.0,100.00,112.84,106.94
DUP1942,Commercial,Brand Executive,IV,Creativity & Innovation Orientation,strength_ideation,8,3,162.50,112.84,106.94
DUP1942,Commercial,Brand Executive,IV,Cultural & Values Urgency,competencies_vcu,5,5.0,100.00,100.00,106.94
DUP1942,Commercial,Brand Executive,IV,Leadership & Influence,disc_d,1,1,100,100.00,106.94
DUP1942,Commercial,Brand Executive,IV,Motivation & Drive,competencies_qdd,5,5.0,100.00,103.63,106.94
DUP1942,Commercial,Brand Executive,IV,Motivation & Drive,papi_a,5,6.0,120.00,103.63,106.94
DUP1942,Commercial,Brand Executive,IV,Social Orientation & Collaboration,competencies_sea,5,5.0,100.00,116.21,106.94
DUP1942,Commercial,Brand Executive,IV,Social Orientation & Collaboration,papi_s,5,9.0,180.00,116.21,106.94
EMP100958,Commercial,Brand Executive,IV,Cognitive Complexity & Problem-Solving,competencies_sto,5,5.0,100.00,100.00,106.94
EMP100958,Commercial,Brand Executive,IV,Cognitive Complexity & Problem-Solving,iq,109.513513513514,109.51351351351352,100.00,100.00,106.94
EMP100958,Commercial,Brand Executive,IV,Creativity & Innovation Orientation,competencies_ids,5,5.0,100.00,112.84,106.94
EMP100958,Commercial,Brand Executive,IV,Creativity & Innovation Orientation,strength_ideation,8,3,162.50,112.84,106.94
EMP100958,Commercial,Brand Executive,IV,Cultural & Values Urgency,competencies_vcu,5,5.0,100.00,100.00,106.94
EMP100958,Commercial,Brand Executive,IV,Leadership & Influence,disc_d,1,1,100,100.00,106.94
EMP100958,Commercial,Brand Executive,IV,Motivation & Drive,competencies_qdd,5,5.0,100.00,103.63,106.94
EMP100958,Commercial,Brand Executive,IV,Motivation & Drive,papi_a,5,6.0,120.00,103.63,106.94
EMP100958,Commercial,Brand Executive,IV,Social Orientation & Collaboration,competencies_sea,5,5.0,100.00,116.21,106.94
